Name,Course,Description,,,,,,,,,
Gender and Media,SOC308/SOC514,"Everyone around us is talking about the TV show Game of Thrones (GoT), isn’t it? But ever wondered that in GoT, land and titles are being passed in the male bloodline while the women are married off for political reasons and alliances? The former are mostly depicted as violent, muscular, powerful and aggressive while the latter as being submissive, dependent, innocent and sexualised. In varying forms and degrees these characterisations are replicated across various media platforms. Drawing primarily from sociology and supporting literature from media studies, cultural studies, feminist theory, and internet/new media studies, the course on gender and media will introduce students to mediated construction and presentations of gender through engagement with representations of masculinity, femininity and sexualities, and their intersectionality with class, race, ethnicity and caste, in print and electronic media. The course will interrogate the political economy, diversity and the composition of labour market of media industry to understand gendered power inequalities in media. Instagram and Facebook content will be examined to probe questions around how media becomes an important means for self-presentation, power, assertion and identity formation. The course will also discuss issues of digital spaces, safety and risk through an engagement with issues of cyber misogyny and gendered online activism by drawing on contemporary examples of hashtag activism namely #metoo, #youtoo, #notallmen and #blacklivesmatter. Grounded in learning by doing, an important part of the course will be to train students to not just become critical consumers but also responsible producers of media. The course will involve assignments and activities on content analysis of television sitcoms, advertisements, Bollywood and regional cinema, print media and digital platforms (blogs, vlogs, avatars) to analyse gendered and racialized language and embodiment in the construction of identities. All the writings that the students do will be used to create a blog on interrogating media from a gender lens.",,,,,,,,,
Sociology of India: Themes and Perspectives,SOC313/SOC503,"This course will equip students with an understanding of the foundations, contemporary debates and relevant themes of Sociology and Social Anthropology in India. It seeks to familiarise students with the discipline as a pre-requirement to doing research in Sociology/Social Anthropology. With this main objective in mind, the course is broadly divided in two parts: the first part engages with the debatessurrounding, theory, approaches, methods, contextualisation, refexivity and so on in Sociology. The second part, introduces key themes in Sociology and Social Anthropology. By the end of the course, the students will be able to develop agrounding in Sociology and use it to envision their own research.",,,,,,,,,
Critical Thinking and Readings in Social Science,SSH101,"This course offers an introduction to ideas about reasoning and elements of thinking critically. In particular, it develops an appreciation of the relevance of reasoning and ideation in the realm of the social sciences. It includes an introduction to key elements and concepts of reasoning and informal logic as well as an applied component which uncovers the value of critical thinking involved in social theory building. In the first part of the course, students will learn about types and nature of good and bad arguments. They 'll be able to differentiate and evaluate the logic in deductive arguments and understand key concepts of validity and soundness. Similarly, students will also be introduced to ideas in inductive thinking and to ways in which one can spot fallacies and other common mistakes. In addition, this course also introduces students, many of whom will be handling social science data for the first time, to the role of critical thinking in social theory development; including in making observations, developing concepts as well as in coming up with explanations that form the basis for doing modern social sciences. The course ends with an exposition on the role of computational power and its implications for values in an era of big data.",,,,,,,,,
Introduction to Philosophy,SSH121,"Furnish students with an overview of the different branches of philosophy (primarily western philosophy). In the process, the student will make the acquaintance of epistemology, metaphysics, logic, ethics, philosophy of religion and more. A major focus of the course: to remove the false mystique surrounding philosophy and to give the student a clear grounding in the essentials of the discipline.        ",,,,,,,,,
Critical Thinking,SSH124,"This course introduces the learner to the fundamentals of critical thinking and informal logic. We will use a ‘mixed’ instructional methodology that includes lecture, Q&A, learning team activities, discussion of videos, slides, print articles and the text.",,,,,,,,,
Research Methods in Social Science and Design,SSH201,"The Social Sciences Research Methods course will focus on providing an introduction and a broad overview of how Social Researchers namely Economists, Anthropologists, Psychologists and Sociologists ask and answer questions through rigorous research methodologies. The course will not only provide an overview of identifying social problems and formulating research questions but will also introduce learners to framing their research design, collecting social data, techniques of data analyses and interpretation of results through a systematic research paradigm. In order to accomplish this, the course is designed to offer learners an assortment of quantitative and qualitative methods. The course will concurrently use quantitative, qualitative and other specialised software to analyse real social data that is either publicly available or has been collected by our faculty members. This class would use a combination of in-class lectures and lab sessions to help students complement their theoretical knowledge with hands on experience with dealing with datasets, data analysis software, and data analytical techniques.",,,,,,,,,
Theatre Appreciation,SSH211,Studying Theories propounded by Masters of Theatre and their lives and influences. The course is designed not only to give a theoretical appreciation of theatre but it will be largely interspersed with class room improvisations and voice and movement exercises so that the students have a hands-on understanding right from the start,,,,,,,,,
Introduction To The Study Of Literature,SSH214,"1. Develop and encourage the students to grow and evolve through the literary journey 2. Expose the students to a range of literary genres (involving both fiction and non-fiction): poetry, drama, novel and short story
3. Introduce the students to a wide range of writings of authors from different cultures and ages across the world
4. To sensitise students to some of the important common social issues which writers of different backgrounds, cultures, and mediums have examined.",,,,,,,,,
Nation and her Narratives,SSH215,"This course introduces students to the literature of India. It surveys a selection of literary works by authors in India and in the diaspora. The course will examine how key cultural concepts have reappeared across Indian literary traditions over time and how they have been reimagined
within the context of specific historical junctures and socio-linguistic networks. It shall focus on themes such as idea of home and territories, women and notion of the body, borders and conflict, power and politics, problems of translation, and the intersections between ideas of real and imagined geographies that constitute the dynamics of the Indian literary scape. In studying some specific sections, there will be the comparative study of constructions of themes in cinematic productions.
The idea is to include the discursive, alternate versions of the thematic narration and the kinds of discordant identities they imagine and manoeuvre from the text or screen to the layers of socio-cultural literary articulation.",,,,,,,,,
Introduction to Indian Mythology,SSH216,"The primary aim of this course is to introduce students to vast, deep and rich world of Indian mythology. The course will seek to build a generic understanding of the Indian system of thought, with focus on stories as means of unravelling truth and building perspective.",,,,,,,,,
Indian Poetry Through the Ages,SSH217,"The Course seeks to provide a historical glimpse to the poetry which has existed in the Indic tradition. It will dwell on classical Sanskrit poetry, Hindi-Urdu poetry, and Indian English poetry and major figures/poets who represent each of these phases.",,,,,,,,,
Social and Political Philosophy,SSH221,"This course will introduce students to some of the fundamental debates in contemporary social and political philosophy. It will cover a range of concepts, theories, ideas, and thinkers, and their relevance in current contexts. The course will have two parts. In the first part we will explore the philosophical debates in the Western Political Theory tradition and discuss philosophical positions on Utilitarianism, Equality, Libertarianism, Marxism, Multiculturism, and Feminism. The second part of the course will focus on debates in the Indian political theoretical tradition. This part will engage with debates on religion, freedom, and equality within the Indian context and apply it to important contemporary social and political questions.",,,,,,,,,
Theory and Practice of Engineering Ethics,SSH222,"The course aims at orienting the students to the theory and practice of meta-ethics, using a multidisciplinary and cross cultural approach. The goal is to help engineering and IT professionals think of ethics as part of the very process of their work. The course does not provide solutions to critical dilemmas. It does not claim to create ‘moral’ people, or ethical engineers. Rather, it encourages critical thinking about ethical issues and decision making. Students will learn to apply meta ethical theories to IT scenarios. We will use a mixed instructional methodology, that includes lecture, discussion, Q&A, one-on-one dialogue, learning team activities, handouts, library reference materials, ppt slides and video clips.",,,,,,,,,
Perspectives of Knowledge,SSH223,"The basic objective for this course is to broaden and deepen students’ understanding of issues concerning knowledge. The course is a basic introduction to epistemology (theory of knowledge). A major focus of the course is to address philosophical theories of knowledge. Additionally, we will address issues of knowledge that have moved from specialized reflections to general social discourse in the  information age. The course culminates with discussions on the contemporary context of knowledge, where the professional training that the students receive in IT can be linked to broader social and cultural currents.",,,,,,,,,
"Computer, Information Ethics and Society",SSH224,"This course is aimed at teaching students about ethical problems that computer scientists face, the codes of ethics of computing professional societies, legal issues involved in technology, and the social implications of computers, computing, and other digital technologies. The aim is to understand and respond to the nuances of a digital society and the challenges it faces.",,,,,,,,,
Democracy in India: Principles and Practices,SSH261,NA,,,,,,,,,
Advanced Writing,SSH311/511,"This is an advanced writing course to train students in writing for academic and formal contexts. The modules of the course are designed to result in predefined writing outcomes with separate modules to develop each student's ability to communicate effectively in his or her academic life. The major emphasis is on three specific types of writing: encyclopaedic, opinion pieces, and journalistic writing. This course has activity-based sessions with intensive mentoring and feedback from the faculty. The writing assignments are cumulative, building on one acquired writing skill to develop into another. The tentative order of instruction is as follows First in preparation of the encyclopaedic articles on a specific topic, the students will learn to collate information, followed by learning to write an opinion piece on the same topic where they will use information from different sources to support/build their argument. This will lead to the third component of writing journalistic articles again on the same/similar topic where subjective opinions need to be tactfully handled while creating a specific angle while dealing with factual data. At the end of each component, there will be a response session with longer memo and        ",,,,,,,,,
Applied Ethics,SSH321,"This course will introduce students to some of the fundamental debates in Applied Ethics. Applied Ethics offers a way to comprehend and analyse the fundamental moral and ethical problems of our times and generate arguments to justify ethical claims. The course will begin by introducing students to the major ethical theories like consequentialism, deontology, and virtue ethics. It will then demonstrate how these theories can be used to both understand and address some of the major ethical issues . Broad topics to be covered in this course include debates in environmental ethics, ethics of information technology, business ethics, bio ethics, animal rights, euthanasia, same-sex marriage, affirmative action, distributive justice and global poverty, abortion, torture, punishment, terrorism, privacy, surveillance, security, whistleblowing, civil disobedience etc. Specific Topics for instruction and discussion will be conveyed by the Instructor at the beginning of the semester.
",,,,,,,,,
Philosophy of Mind,SSH324,"What is the nature of mind/consciousness - is it immaterial or material, or both? How do we understand the relation between the mind, brain and the body on the one hand, and the mind and the external world, on the other? What is it to have a mental representation or a 'thought'? Are such mental representations, intentional states, and 'experiencing' itself (such as experiencing pain) inseparable from self-consiousness, such that without self-consciousness there can be no consciousness? Can 'thinking' be processively or functionally reproduced in computers? Is the possibility of such reproduction essential to fully grasping what the mind is? These are some of the issues that this course will investigate, by first situating them within the broader epistemological and ontological debates in which they arose, before turning to more contemporary approaches and theoretical responses.",,,,,,,,,
Comparative Politics in Digital Era,SSH361,"How are big data changing ideals and practice of power? Are citizens more in control of their lives or being controlled by powerful elites? How does one understand the impact of the digital on politics in the non-Western context? This course offers some answers and concepts to discuss these themes by developing comparative and critical theoretical perspectives. In the first part we conceptualize the idea of power and knowledge through a variety of perspectives, ranging from the Hayek-ian and Marxist appraoch, as well as the widely accepted middle ground of Weberian view on knowledge, big data and its implication in politics. Towards the end of the section I, we move away from the meta-theory to adopt a more infra-theory approach and introduce students to critical framework drawn from the field of Science and Technology Studies (STS) which can help us conceptualize ‘the digital’ in its historical and non-Western context. In the second part of the course we consider the role of 'the digital' in relation to politics of power and resistance in various countries, adding a comparative dimension to theories of digital technology. Beginning with the West and the US in particular, we move to China, Africa and finally, India. In each case, we read analytical and empirical literature that focusses on the
assemblage of digital media, technology and social change with a focus on Foucaldian perspectives on knowledge/power, data and surveillance technologies in politics. Along the way we explore issues ranging from ‘analytical activism’ and quantification in political campaigning to themes such as nationalism, right-wing populism and extremism.",,,,,,,,,
Philosophy of Technology,SSH322 / SSH522,"This course aims to introduce students to the basic issues and debates that arise within the philosophy of technology. These include:
1) What is Technology? How does it relate to society?
2) How do we conceive the relation between technology and science?
3) How do we understand the relationship between technology and nature?
4) Is the distinction between the ‘real’ and the ‘virtual’ still tenable?
5) Do visions of technologically dystopian or utopian futures overestimate the possibilities of technology?",,,,,,,,,
Network Security,CSE350/CSE550,"The course on Network Security covers essentials of symmetric-key cryptosystems based on block ciphers (such as DES, AES), stream ciphers (such as RC4), public-key cryptosystems based on RSA and ElGamal, key management (including PKI and Certification), message authentication and digital signatures. Applications of these cryptosystems to securing Wi-Fi networks, Email systems, virtual private networks, or providing authentication & message integrity within an organization based on Kerberos or at Transport-layer while access the Web.",,,,,,,,,
Wireless Networks,CSE538/ECE538,"This course will cover a variety of mobile systems (wireless LANs, cellular systems, and sensor networks). This course will cover design of various layers in the network stack in the context of wireless communication. This course will cover challenges in mobile systems.",,,,,,,,,
Smart Sensing for Internet of Things (IoT),CSE576,"This course will introduce students to sensors and sensing systems that are in the “real-world” and are increasingly connected to the internet and are accessible via web technologies. The objective of the course is to understand IoT sensing systems, protocols and technologies. An integral part of the course will be a IoT project that the students will have to design, build and demonstrate. The ﬁnal project will span the full research cycle - from problem formulation to obtaining & analyzing results to paper writing. Speciﬁcally, the course aims to provide students with a comprehensive introduction to this area, a training in sensing mechanisms, protocols for such devices, as well as an in-depth understanding of networking mechanisms. The course will enable students to understand deployment and conﬁguration of these sensors in the real world with a focus on energy efﬁciency, challenging deployment conditions, routing and data-gathering. A substantial emphasis will be placed on software implementation. All students are expected to learn (largely on their own) how to program (hardware) and run simulations. Students are required to complete a group project as part of this course. This course also aims to train students in the craft of academic research. For this end the students will be asked to critique several papers on IoT. By the end of the course, students are expected to be able to read research papers in a critical and analytical manner.",,,,,,,,,
Advanced Topics in Mobile Computing,CSE734,"This course covers various advanced topics in mobile computing such as sensing and activity inference, mobile communications, road and traffic sensing etc. to create the next-generation mobile computing systems. In this course, through latest research papers, several of these technologies, e.g., power consumption and analysis, participatory sensing system etc., are studied.",,,,,,,,,
Optical Fiber Networks for Industry 4.0,ECE532,"In this course, students will be familiar with Optical transport network architecture for supporting heterogenious
applications of Industry 4.0 (envisioned 5G application) as per the International Telecom Union standards that drive
technology towards commercialization. Further, they will get a good exposure to optimally allocate spectral resources
in 5G datacenter optical networks to protect it during failures. Finally students will learn about Fronthaul technology to
enable 5G slicing for low latency CloudRan and other 5G applications. This course will provide students with in-depth
knowledge about network components and systems; including optical switches, multiplexers and intelligent optical
amplifiers. Students will be trained on state-of-the-art simulation tools and Machine learning based physical layer noise
models to calculate the signal quality of an optical lightpath.",,,,,,,,,
Calculus in R^N,MTH544,"This an introductory course on smooth differential forms on smooth manifolds. It will attempt to serve as a sequel to abstracting calculus beyond real and multivariable analysis to higher dimensional vector spaces and manifolds. The primary emphasis will be on understanding calculus in R^n to begin with, first for n = 3, and then more generally via differential forms. The course also has an applied theme and will conclude with three different applications of concepts: to engineering via optimization on manifolds, to mathematics via de Rham cohomology of manifolds, and to physics via modeling of Maxwell’s equations.
We shall review basic concepts from multivariable calculus, linear algebra, algebra, geometry and topology first as well as intersperse them later as and when needed. Initially, this shall include geometry in linear algebra, partial and directional derivatives, multiple integrals, alternating multilinear algebra, parametric curves and surfaces, and tangent vectors and spaces. Next, we shall introduce differential forms via integration, the exterior derivative, wedge product of forms, and properties of differential forms in R^n. This will be followed by a quick discussion of Riemannian metric, the Hodge star map, and inner product of differential forms in this context. Discussion of Stoke’s theorem, an introduction to smooth manifolds, notion of vector fields, push forward and pullback maps will form the last conceptual module. In the end, we will discuss three applications, namely computational methods for linear optimization on manifolds with geometric constraints, de Rham cohomology of manifolds, and differential forms modeling of Maxwell’s equations.",,,,,,,,,
Advance Ethnographic Research Methods,SOC311/SOC501,"This course introduces diverse ethnographic methods and epistemologies in anthropology: participant observation, visual sources, archival documents, oral narratives, visual as well as digital resources. It exposes students to data gathering techniques, designing a research proposal, conducting structured and unstructured interviews, while at the same time introducing key debates on the conditions of producing knowledge. The course will encourage students to think reflexively while designing their research proposals, by asking ways social position of the researcher is connected to data production. Through this, questions of objectivity, interpretation, social construction in the production of ethnographic knowledge will be explored, by bringing questions of power and the politics of representation in the production of social ‘facts’. At the end of the course, students will be able to be able to design research projects and write grant applications, while being reflexive of the location through which research is produced.",,,,,,,,,
Communication Networks,CSE636/ECE636,"The course introduces the student to analytical tools that help understand the performance of various aspects of a communications network. We will analyze various aspects of the layer 2 of the OSI model, including automatic repeat request, multiple access, and flow control. We will learn how to apply simple queueing models to analyze the delay and throughput performance of networks. Finally, we will analyze the performance of the transmission control protocol (TCP). It is hoped that the exposure to analysis will help us design good real world protocols.",,,,,,,,,
Systems and Synthetic Biology,BIO533,This course introduces systems and synthetic biology to students with interest in applying mathematical techniques to biological problem. The main aim of this course is to train students to build mathematical models of complex biological systems and make predictions about the functions of the biological systems in-silico under various conditions. They will also learn conditions to build synthetic circuit in-silico to optimize its functions under various scenarios.,,,,,,,,,
Advanced Biometrics,CSE441/CSE541,"This course will introduce advanced topics in biometrics to students. The course will involve studying algorithms for image quality, feature extraction and matching. To understand the concepts involved, topics from machine learning, image processing and pattern recognition will also be presented. The projects will enable them to design, implement, and analyze biometric systems.",,,,,,,,,
Introduction to Quantum Computing,CSE622,"This is an introductory course about designing solutions for computation problems using the quantum computing models. It has been shown that these models allow us to solve certain problems more efficiently compared to classical platforms (like Digital circuits or Turing machines). On the other hand, there are certain scenarios where this model is siimlar or even worse than classical platforms. In this course a student will learn about the models and interesting solutions (circuits, algorithms) for some problems from the perspective of computer science. The first half of the course will introduce the postulates of quantum computing, operations and operators and basic structure of circuits and algorithms on the circuit model and the Turing machine model. We will also cover some simple but amazing solutions like quantum teleportation, super-dense coding and Deutsch-Jozsa algorithm. The second half of the course will cover important algorithmic tools like the quantum Fourier transformation, amplitude amplification and eigenvalue estimation and discuss important algorithms like Grover’s search, Shor's factoring, BB84 protocol which bring significant efficiency compared to classical algorithms. Depending upon time and interest, some recent advances will be covered. Students may have to read a recent/classical research paper and/or simulate some of their algorithms and circuits on some quantum circuit simulator (e.g., Microsoft LIQUi simulator) to get a better feel about the system.",,,,,,,,,
Data Mining,CSE506,"Data mining aims at finding the useful patterns in large data sets. Interest in the field is motivated by the growth of computerized data collection due to ubiquity of Internet enabled devices. This course will cover a set of techniques designed to be used for finding interesting patterns from the data. The techniques include classification, clustering, association rule minin and sequence mining. Students will learn and use the open source R statistical software, see http://www.r-project.org, and machine learning packages such as Weka in this course.",,,,,,,,,
Neuroscience of Decision Making,PSY307,"The course will introduce how perception,  goals, preferences, motivation of living systems guide their selection of actions and thoughts from several possible options. The course will try to build a mechanistic understanding of the processes in the brain that support decision making and how they are flexibly updated in a dynamically changing environment. Classes will discuss relevant scientific & historical background, salient theoretical models and experimental evidence in various aspects of decision-making. An additional component will involve computational analysis of experimental datasets in this field to make inferences about brain and behaviour. The primary effort would be to make neural mechanisms accessible to the learners, expose them to possible applications and encourage them to find their own avenues of interest for translating the core principles of decision neuroscience.        ",,,,,,,,,
Knowledge Graphs in Practice,CSE605A,"This seminar style, hand-on course will focus on applications and uses of Knowledge Graphs. We will learn how knowledge graphs are used in various practical applications such as improving search, question answering, conversational systems, and enterprise data management.
",,,,,,,,,
Measure and Probability Theory,MTH535,"The first half of this course will consists of topics from measure theory, which can be considered to be a branch of mathematical analysis dealing with the foundations required to associate a notion of measure (such as volume) to subsets of a set. This study provides foundational tools for many areas of mathematics, such as Riemannian geometry, probability theory, functional analysis, dynamical systems, etc. As a specific application, we revisit probability theory using the framework of measure theory in the second half of the course.",,,,,,,,,
Theories of Deep Learning,CSE516/ECE559,"Deep Learning (under the broader umbrella of Machine Learning) nowadays is a popular approach that allows computers to learn attributes from data. The aim is to enhance our understanding in terms of a hierarchy of concepts, where each such concept comprises of simpler ones. Alongside the proliferating application of these techniques for image, audio or time-series data, practitioners have developed a good understanding of the properties that make these deep nets effective. There are now a number of theories being developed to give a more formal mathematical understanding to accompany these observations; this course will explore some of these varying perspectives. Students will be given assignments which will include mathematically involved pen and paper questions, along with few computational experiments. This course is focused on theoretical aspects of deep learning. Computational experiments help explore the theory, and are a valuable skill.",,,,,,,,,
Urban Space and Political Power,SSH362/SSH562,"This course will enable students to evaluate urban governance practices. It draws on the ideas of 'space' and 'political power' to develop insights into the nature of urban governance and politics. With this main objective in mind, the course is broadly divided in two parts: the first part engages with the concepts of ‘space’, ‘political power’ and ‘urban governance’. The second part, introduces urban processes and events from the urban conglomeration of Delhi to empirically populate and exemplify the concepts discussed in the first half of the course. By the end of the course, the students will be able to develop an understanding of the ideas of 'space' and 'political power', and the distinctiveness of urban governance, especially in Delhi.",,,,,,,,,
Information Technology And Society,SOC207,"The Course will give a brief historical and sociological context to the emergence of Information technology and its spread from the specialist field of military intelligence to the everyday world of civilian use. It will analyse the effect of this new technology on industrial work culture, finance and education leading to new spatial, regional and global ways of doing business, creating knowledge and demarcating sovereignty. It will take up Silicon Valley and Bangalore briefly as case studies explaining this phenomena. It will next focus on the internet and its impact on new forms of human communication, warfare, business, governance, education and medicine. On the cultural front it will examine the interplay bewteen family and sociality, gender and age, transnationality and work, entrepreneurship and labour under conditions of the Knowledge Society or the New Economy. The convergence of mobile with internet technologies will be examined for the development of political movements and political cultures in democratic governance with the attendant concerns of privacy, surveillance, cyber security and violence . In India, the public culture of ICT4D will be compared with the start-up culture of doing business and new forms of e-governance today. The problem of the Digital Divide will be highlighted against the backdrop of new youth aspirations, middle class wealth creation and rural urban distinctions. New forms of aggressive identity- seeking globally, through new forms of IT-based entertainment, networked community formation and religious proselytisation, leading to terror, violence and risk will be outlined, especially for the everyday world of the young. Finally, the need for appropriate laws and ethical constraints to address these social concerns will be examined at the personal and professional level.",,,,,,,,,
Intersectionality Studies,SOC315/SOC511,"Isn't talking solely about gender/class/caste enough? Why intersectionality and not double discrimination? Are identities becoming too niche with more specific positionalities being outlined (Cissexual, Heterosexual Savarna, Middle-Class Man)? How far can we go and where does this take us? This course will equip students with an understanding of the historical and theoretical foundations; contemporary debates; and relevant themes of intersectionality. It seeks to familiarise students with the core theoretical and methodological concerns of doing intersectional research. With this main objective in mind, the course is broadly divided in two parts: the first part engages with the historical background, concepts, theory, and approach envisioned by intersectionality. The second part, introduces ways of conceptualising and understanding intersectionality and related issues, in various spheres. By the end of the course, the students will be able to develop a sound understanding of intersectionality and its application.",,,,,,,,,
Technology and the Future of Work,SOC314/SOC512,"This course traces the link between technological shifts and transformations in work from a sociological perspective. It traces the history of these changes through the early periods of capitalism, to expansion of domestic technology and ultimately to analyse the possibilities of the future where digital technology and automatic is expected to transform society . The course will equip students in analysing these changes from the perspective of its impacts on society, including the changing nature of work itself, its impact on social identity based work, and analyse whether the future of work entails joblessness or expanded leisure for all.",,,,,,,,,
New Media and Politics,SSH323,"Conventional views on the global rise of populism, fake news and extreme polarisation evaluate these in terms of the 'the failure of the neoliberal economics' and/or a result of 'destabilised cultural identity'. But could this have happened without the Internet? This course offers a 'new' media perspective to answer this puzzle, and combines varied explanations to develop macro- level theoretical insights around contemporary politics and implications for policy and regulation. (In PART I) we begin by questioning the binaries in debates around 'hacktivism' which either ignore the difference between old and new media or adopts a heavy ‘technological determinism’ in their explanations. Instead, we develop arguments around the newness of Internet-enabled political action, covering key and historical and technological development relating to spatial nature of new populism ('counter public sphere' Fraser 1992), social movements (Wellman and Raini 2012) as well as communicative power (Castells 2009). (In PART II) we consider several prominent case studies and examples to evaluate these theoretical and conceptual insights. We begin with the 'occupy' movements that spread across the world after the financial crisis in early 2010s, and then analyse the use of new media in the uprisings in Arab world and Asia. Taking a series of case studies we theorise the power of Twitter, Facebook and WhatsApp as 'new' intermediaries and analyse the populist trend in terms of the changing balance between the state and society and the slow erosion of established institutions. These cases focus primarily on populist politics but also include new environmental movements, civic activism and digital journalism. In terms of pedagogical approach, and evaluating criteria, our course will rely on active learning that requires all students to develop a strong research orientation and would help them devlop independent projects that showcase these insights in terms of policy analysis, journalism as well as technology development.",,,,,,,,,
Advanced Sociological Theory,SOC312/SOC502,"This course grounds students in sociological theory - both classical and contemporary. Developed as an advanced theory course the readings are at a graduate level. Sociological theory has undergone transitions and shifts and the course will alert students to theoretical themes and debates. Considered as schools of thought, the course will enable students to understand theoretical foundations and conclusions that shape methodological entry points. The course enables students to consider imminent as well as external critiques in order to analyse social changes and political shifts. At the end of the course students will have an in-depth understanding and analysis of major schools of thought in sociology.",,,,,,,,,
Integrated Circuit Fabrication,ECE522,"In this course fundamental physical and chemical processes will be used to describe and model a range of fabrication processes making up the various silicon integrated circuit technologies. This course covers everything that professionals need to know, from crystal growth to integrated devices and circuits. Both
theory and the practical aspects of each major fabrication step, including crystal growth, silicon oxidation, photolithography, etching,
diffusion, ion implantation, and thin film deposition will be covered in this course.
It is assumed that students have a quantitative understanding of the basic device physics and structure of diodes, bipolar junction and field-effect transistors",,,,,,,,,
Algorithm Design and Analysis,CSE222,"The focus of this course in on the design of algorithms, proofs of correctness and methods to analyse resource requirements of their algorithms. Students learn fundamental algorithmic design paradigms such as greedy algorithms, dynamic programming, divide and conquer, etc. and also learn some more data structures. The later part of the course focuses on the limitations of algorithms. In particular, the theory of NP-completeness. Students are also required to design and implement algorithms using the techniques the learn.",,,,,,,,,
Algorithm Design and Analysis,CSE223,"This is a follow-up course to DSA (Data Structures and Algorithms) for non-CSE/CSAM students. The focus of this course is to introduce students to design and analysis of algorithms and their proofs of correctness. Students learn fundamental algorithmic design paradigms such as greedy algorithms, dynamic programming, divide and conquer, etc. .",,,,,,,,,
Ethics in AI,SSH325/SSH525,"Artificial Intelligence is slowly becoming a significant part of our lives. It is in the process of continuous evolution and change and holds the possibility of changing lives and affecting us in myriad ways. Its continuous evolution and embeddness in life poses significant ethical question. The question of ethics arises not only at the level of the interaction of the AI systems with society and human beings but at the level of design of such systems. This course studies the ethics of AI. The course is divided into two parts. In the first part we will study the questions of fairness, transparency, justice linked to AI and the ethics of its deployment in various settings of healthcare, warfare, autonomous vehicles, education etc. The second part will specifically look at the question of ethical design of AI systems. In this regard it will seek to integrate ethics into the design of AI systems through practical demonstrations and applications.",,,,,,,,,
Categorical Data Analysis,MTH576,"The study of categorical data sets involve commonly used distributions like Bernoulli, Binomial and Poisson. This course involves analyzing such data sets. The commonly used methods like odds ratio and relative risk will be discussed. The multiple regression model building for categorical data will be discussed in detail. The emphasis will be on studying these models on real life data sets and building and interpretating the results.",,,,,,,,,
Statistical Inference,MTH372,"The course introduces the theoretical concepts and derivations of parametric and non parametric statistical inference. It also gives a brief introduction to building statistical linear models and analyze them. The course includes estimation, hypothesis testing, confidence interval and an introduction to Linear Regression and ANOVA. The students will learn derivations, simulations, and analysis of the real data.",,,,,,,,,
Mobile and Middleware Systems,CSE566/DES5MMS,"This objective of this course is to train students in building mobile and middleware systems that are relevant for variety of domains, including but not limited to, crowdsensing, crowdsourcing, public helath, education, etc. The course will teach contemporary middleware systems in practice and associated technologies to implement them. We will specifically be targetting middleware for unstructured data captured by mobile devices. Computer Science as well as Design students will benefit from in-depth understanding of how Middleware works and as well developing the capacity to develop them. We would discuss middleware related issues for data collection, data privacy, data processing, analysis, and Visualization etc. ",,,,,,,,,
Program Analysis,CSE503,NA,,,,,,,,,
Antennas Theory and Design,ECE431/ECE631,"The course aims to introduce the principles of antenna theory and design as well as wave propagation to senior undergraduate and graduate students who have a background in fundamental electromagnetics. The course will enable the students to understand the operation of common antennas and provide them an opportunity to design and test antennas. Thus the course will combine both the theoretical and practical aspects of antenna design. This course may be useful to students interested in implementing wireless systems (communications and radar).
",,,,,,,,,
Fundamentals of Database Management System,CSE202,"This is a first course on database systems at the undergraduate level, covering fundamentals concepts, aspects of database design, database query languages and database system implementation. Students are taught concepts and algorithms in a general setting that is not tied to any one particular database system. The course emphasizes both theory and application of database systems. The course includes hands-on experience of designing and using databases, and building small
database-backed applications.",,,,,,,,,
Visual Design & Communication,DES202,"VISUAL DESIGN: Based on the premise that Visual Design is a discipline of design that applies the principles of visual language for better analysis and understanding of design problem and solution, this course focuses on the elements and principles of the visual language and their semantic use. A multi- disciplinary domain, design consists of, aesthetics, architecture, products, communication, processes, systems, technology, business/commerce, ramification on environment and society and demands clear understanding of design fundamentals. Apart from the thorough knowledge of core concepts, design also requires the representation of concepts visually to make effective or functional communication and iteration of ideas. For creative skills and aesthetic sense, one must clearly understand the use of basic design elements and their applications for a particular design solution. For a designer to communicate more concisely and in a visually appropriate manner, it is necessary to use commonly understood principles, perspective and design layout standards. Together, these conventions constitute a visual language, and help to ensure that the drawing is clear and relatively easy to understand. VISUAL COMMUNICATION: The concept and science of Visual Communication is introduced as the relationship between human information processing, with emphasis on processing of visual information and design of messages. It includes visual perception, Gestalt laws of organization, semantics, working memory (STM & LTM) and their implications on.
The course also introduces students to the fundamentals of Typography and Photography. The Typography course introduces students to the fundamentals of Typography and its application in effective product interface/communication. And the Photography course introduces the students to photography as a medium of visual language and applies it to visual design. In today’s world that is crowded with visual stimulus it is important to cut through the noise and be able to decipher, capture and create visual images that communicate.",,,,,,,,,
